"modell";"phase";"startelement";"connection";"end_element";"klassifikation"
"qwen9b";"3";"Goal Develop new heat extractor with very low energy consumption";"motivates";"IS Technical Component Production system";"0"
"qwen9b";"3";"Goal Develop new heat extractor with very low energy consumption";"motivates";"IS Technical Component Version management system";"0"
"qwen9b";"3";"Goal Develop new heat extractor with very low energy consumption";"motivates";"Feature energy-efficient";"1"
"qwen9b";"3";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"motivates";"IS Technical Component Production system";"0"
"qwen9b";"3";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"motivates";"IS Technical Component Version management system";"0"
"qwen9b";"3";"Problem Short period for development";"Hinders";"Process Product design";"1"
"qwen9b";"3";"Problem New refrigerants are very expensive";"Hinders";"Process Product design";"1"
"qwen9b";"3";"Role Product Owner";"is responsible for";"Goal Produce remaining energy required by heat pump with photovoltaic module";"1"
"qwen9b";"3";"Role Product Owner";"is responsible for";"Goal Develop new heat extractor with very low energy consumption";"0"
"qwen9b";"3";"Role Product Owner";"is responsible for";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"0"
"qwen9b";"3";"Role Product Owner";"(empty)";"IS Technical Component Production system";"1"
"qwen9b";"3";"Role Product Owner";"(empty)";"IS Technical Component Version management system";"1"
"qwen9b";"3";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen9b";"3";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"3";"Organizational Unit Product development department";"(empty)";"IS Technical Component Production system";"1"
"qwen9b";"3";"Organizational Unit Product development department";"(empty)";"IS Technical Component Version management system";"1"
"qwen9b";"3";"Role Product designer";"(empty)";"IS Technical Component Production system";"1"
"qwen9b";"3";"Role Product designer";"(empty)";"IS Technical Component Version management system";"1"
"qwen9b";"3";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Providing most energy-efficient heating solution in market";"2"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Minimize energy consumption of heat pump";"1"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Produce remaining energy required by heat pump with photovoltaic module";"1"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Develop new heat extractor with very low energy consumption";"1"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"1"
"qwen9b";"3";"Organizational Unit Multi-Heat";"is responsible for";"Unspecific/Product/Service Maintenance and trouble-shooting";"1"
"qwen9b";"3";"Organizational Unit Marketing department";"(empty)";"IS Technical Component Social media studio";"1"
"qwen9b";"3";"Organizational Unit Social media group";"performs";"Process Run social media campaign";"1"
"qwen9b";"3";"Organizational Unit Social media group";"(empty)";"IS Technical Component Social media studio";"1"
"qwen9b";"3";"Organizational Unit Print media group";"performs";"Process Run print media campaign";"1"
"qwen9b";"3";"Process target setting";"uses";"IS Technical Component Production system";"1"
"qwen9b";"3";"Process target setting";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"3";"Process define the product specification";"uses";"IS Technical Component Production system";"1"
"qwen9b";"3";"Process define the product specification";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"3";"Process Product design";"uses";"IS Technical Component Production system";"1"
"qwen9b";"3";"Process Product design";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"3";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen9b";"3";"IS Technical Component Production system";"supports";"Concept Specification Document";"1"
"qwen9b";"3";"IS Technical Component Production system";"supports";"Concept Design description";"1"
"qwen9b";"3";"IS Technical Component Version management system";"supports";"Concept Product";"1"
"qwen9b";"3";"IS Technical Component Version management system";"supports";"Attribute Version";"1"
"qwen9b";"3";"IS Technical Component Version management system";"supports";"Concept Feature";"1"
"qwen9b";"3";"IS Technical Component Version management system";"supports";"Concept Target Feature";"1"
"qwen9b";"3";"IS Technical Component Database system";"supports";"Concept Product";"1"
"qwen9b";"3";"IS Technical Component Database system";"supports";"Concept Specification Document";"1"
"qwen9b";"3";"IS Technical Component Transaction middleware";"supports";"Concept Product";"1"
"qwen9b";"3";"IS Technical Component User interface";"supports";"Concept Product";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign target document";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign statistics";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Concept Campaign result document";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Attribute Social media activities";"1"
"qwen9b";"3";"IS Technical Component Social media studio";"supports";"Attribute Print media products";"0"
"qwen9b";"3";"IS Technical Component SM life system";"supports";"Concept Campaign plan";"1"
"qwen9b";"3";"IS Technical Component SM repository";"supports";"Concept Product";"0"
"qwen9b";"3";"IS Technical Component SM repository";"supports";"Concept Feature";"0"
"qwen9b";"3";"IS Technical Component SM repository";"supports";"Attribute List of features";"0"
"qwen9b";"3";"IS Technical Component SM repository";"supports";"Concept Specification Document";"0"
"qwen9b";"3";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Product";"2"
"qwen9b";"3";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Feature";"2"
"qwen9b";"3";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Design description";"1"
"qwen9b";"3";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Specification Document";"1"
"qwen9b";"3";"Unspecific/Product/Service Smart Heat";"motivates";"Concept Customer Survey";"0"
"qwen9b";"3";"Component indoor module";"relates to";"Concept Design description";"1"
"qwen9b";"3";"Component outdoor module";"relates to";"Concept Design description";"1"
"qwen9b";"3";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"qwen9b";"3";"Unspecific/Product/Service Heat pump";"relates to";"Concept Product";"2"
"qwen9b";"3";"Component Photovoltaic module";"relates to";"Concept Design description";"1"
"qwen9b";"3";"Component Photovoltaic module";"relates to";"Concept Zero-emission energy production";"2"
"qwen9b";"3";"Component Outdoor air exchange unit";"relates to";"Concept Design description";"1"
"qwen9b";"3";"Feature Zero-emission energy production";"relates to";"Concept Feature";"2"
"qwen9b";"3";"Unspecific/Product/Service Maintenance and trouble-shooting";"relates to";"Concept Product";"2"
"qwen9b";"3";"Unspecific/Product/Service Maintenance and trouble-shooting";"motivates";"Concept Customer Survey";"0"
"qwen9b";"3";"Unspecific/Product/Service Annual service";"relates to";"Concept Product";"1"
"qwen9b";"3";"Unspecific/Product/Service Repair";"relates to";"Concept Product";"1"
"qwen9b";"3";"Unspecific/Product/Service Service kit";"relates to";"Concept Product";"2"
"qwen9b";"3";"Process Plan marketing campaign";"Output";"Concept Campaign plan";"2"
"qwen9b";"3";"Process Plan marketing campaign";"Input";"Concept Campaign target document";"2"
"qwen9b";"3";"Process Plan marketing campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"3";"Process Run social media campaign";"Input";"Concept Campaign plan";"2"
"qwen9b";"3";"Process Run social media campaign";"Output";"Concept Campaign statistics";"2"
"qwen9b";"3";"Process Run social media campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"3";"Process Run print media campaign";"Input";"Concept Campaign plan";"2"
"qwen9b";"3";"Process Run print media campaign";"Output";"Concept Campaign statistics";"2"
"qwen9b";"3";"Process Supervise campaign results";"Output";"Concept Campaign result document";"2"
"qwen9b";"3";"Process Supervise campaign results";"Input";"Concept Campaign statistics";"2"
"qwen9b";"3";"Process Supervise campaign results";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"4";"Goal Providing most energy-efficient heating solution in market";"relates to";"Concept Heat pump";"1"
"qwen9b";"4";"Goal Providing most energy-efficient heating solution in market";"relates to";"Attribute Energy-efficiency";"2"
"qwen9b";"4";"Goal Providing most energy-efficient heating solution in market";"motivates";"Process target setting";"1"
"qwen9b";"4";"Goal Providing most energy-efficient heating solution in market";"motivates";"Feature energy-efficient";"2"
"qwen9b";"4";"Problem Energy consumption of current product version is too high";"Affects";"Concept Product";"2"
"qwen9b";"4";"Problem Energy consumption of current product version is too high";"relates to";"Attribute Energy consumption";"2"
"qwen9b";"4";"Problem Energy consumption of current product version is too high";"motivates";"Process Product design";"1"
"qwen9b";"4";"Problem Energy consumption of current product version is too high";"motivates";"Feature energy-efficient";"1"
"qwen9b";"4";"Goal Minimize energy consumption of heat pump";"requires";"Concept Heat pump";"2"
"qwen9b";"4";"Goal Minimize energy consumption of heat pump";"relates to";"Attribute Energy consumption";"2"
"qwen9b";"4";"Goal Minimize energy consumption of heat pump";"motivates";"Process Product design";"1"
"qwen9b";"4";"Goal Minimize energy consumption of heat pump";"motivates";"Feature energy-efficient";"1"
"qwen9b";"4";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"Process Product design";"1"
"qwen9b";"4";"Goal Produce remaining energy required by heat pump with photovoltaic module";"motivates";"Feature Zero-emission energy production";"1"
"qwen9b";"4";"Constraint Maximum energy production of photovoltaic module is 50 kWh";"Affects";"Concept Product";"1"
"qwen9b";"4";"Constraint Maximum energy production of photovoltaic module is 50 kWh";"Hinders";"Process Product design";"1"
"qwen9b";"4";"Goal Develop new heat extractor with very low energy consumption";"relates to";"Concept Design description";"1"
"qwen9b";"4";"Goal Develop new heat extractor with very low energy consumption";"motivates";"Process Product design";"1"
"qwen9b";"4";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"relates to";"Concept Design description";"1"
"qwen9b";"4";"Goal Re-design existing heat extractor bay adapting it for a new refrigerant";"motivates";"Process Product design";"1"
"qwen9b";"4";"Problem Short period for development";"Hinders";"Process Product design";"1"
"qwen9b";"4";"Problem New refrigerants are very expensive";"Hinders";"Process Product design";"1"
"qwen9b";"4";"Goal Provide services supporting high availability of heat pump";"relates to";"Concept Heat pump";"2"
"qwen9b";"4";"Goal Provide services supporting high availability of heat pump";"motivates";"Process Product design";"0"
"qwen9b";"4";"Goal Provide services supporting high availability of heat pump";"motivates";"Feature Quick response to error situations";"1"
"qwen9b";"4";"Goal Provide services supporting high availability of heat pump";"motivates";"Feature Personal service technician";"1"
"qwen9b";"4";"Problem control unit needs Internet to provide status information";"Hinders";"Process Product design";"1"
"qwen9b";"4";"Problem control unit needs Internet to provide status information";"motivates";"Feature Quick response to error situations";"1"
"qwen9b";"4";"Problem Company has not much experience with online information processing";"Hinders";"Process Product design";"0"
"qwen9b";"4";"Problem Company has not much experience with online information processing";"Hinders";"Feature Quick response to error situations";"1"
"qwen9b";"4";"Problem Company has not much experience with online information processing";"motivates";"Feature Personal service technician";"0"
"qwen9b";"4";"Role Product Owner";"is responsible for";"Unspecific/Product/Service Smart Heat";"2"
"qwen9b";"4";"Role Product Owner";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"4";"Role Product designer";"is responsible for";"Unspecific/Product/Service Heat pump";"0"
"qwen9b";"4";"Role Product designer";"is responsible for";"Feature energy-efficient";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Check order validity";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Handle customer order";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Reject customer order";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Prepare product delivery";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Check availability";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Check customer status";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"performs";"Process Check configuration";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"is responsible for";"Unspecific/Product/Service Smart Heat";"1"
"qwen9b";"4";"Organizational Unit Multi-Heat";"is responsible for";"Unspecific/Product/Service Maintenance and trouble-shooting";"1"
"qwen9b";"4";"Role Printing press operator";"performs";"Process Run print media campaign";"0"
"qwen9b";"4";"Role General Manager";"is responsible for";"Unspecific/Product/Service Smart Heat";"0"
"qwen9b";"4";"Role General Manager";"is responsible for";"Unspecific/Product/Service Maintenance and trouble-shooting";"0"
"qwen9b";"4";"Process target setting";"uses";"IS Technical Component Production system";"1"
"qwen9b";"4";"Process target setting";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"4";"Process define the product specification";"uses";"IS Technical Component Production system";"1"
"qwen9b";"4";"Process define the product specification";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"4";"Process Product design";"uses";"IS Technical Component Production system";"1"
"qwen9b";"4";"Process Product design";"uses";"IS Technical Component Version management system";"1"
"qwen9b";"4";"IS Technical Component Production system";"supports";"Concept Product";"1"
"qwen9b";"4";"IS Technical Component Version management system";"supports";"Concept Target Feature";"1"
"qwen9b";"4";"IS Technical Component Social media studio";"supports";"Concept Campaign plan";"1"
"qwen9b";"4";"IS Technical Component Social media studio";"supports";"Concept Campaign statistics";"1"
"qwen9b";"4";"IS Technical Component Product planning system";"supports";"Concept Order specification";"1"
"qwen9b";"4";"IS Technical Component Enterprise resource planning system";"supports";"Concept Order confirmation";"1"
"qwen9b";"4";"Unspecific/Product/Service Smart Heat";"relates to";"Concept Product";"2"
"qwen9b";"4";"Unspecific/Product/Service Smart Heat";"requires";"IS Technical Component Enterprise resource planning system";"0"
"qwen9b";"4";"Component indoor module";"relates to";"Concept Product";"1"
"qwen9b";"4";"Component outdoor module";"relates to";"Concept Product";"1"
"qwen9b";"4";"Feature energy-efficient";"relates to";"Concept Feature";"2"
"qwen9b";"4";"Unspecific/Product/Service Heat pump";"relates to";"Concept Product";"2"
"qwen9b";"4";"Component Photovoltaic module";"relates to";"Concept Zero-emission energy production";"2"
"qwen9b";"4";"Component Outdoor air exchange unit";"relates to";"Concept Product";"1"
"qwen9b";"4";"Feature Zero-emission energy production";"relates to";"Concept Feature";"2"
"qwen9b";"4";"Unspecific/Product/Service Maintenance and trouble-shooting";"relates to";"Concept Product";"2"
"qwen9b";"4";"Unspecific/Product/Service Maintenance and trouble-shooting";"requires";"IS Technical Component Enterprise resource planning system";"0"
"qwen9b";"4";"Unspecific/Product/Service Annual service";"relates to";"Concept Product";"1"
"qwen9b";"4";"Unspecific/Product/Service Repair";"relates to";"Concept Product";"1"
"qwen9b";"4";"Unspecific/Product/Service Service kit";"relates to";"Concept Product";"2"
"qwen9b";"4";"Feature Quick response to error situations";"relates to";"Concept Feature";"1"
"qwen9b";"4";"Feature Discount prices in case of repairs";"relates to";"Concept Feature";"1"
"qwen9b";"4";"Feature Personal service technician";"relates to";"Concept Feature";"1"
"qwen9b";"4";"Process Plan marketing campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"4";"Process Run social media campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"4";"Process Run print media campaign";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"4";"Process Supervise campaign results";"uses";"IS Technical Component Social media studio";"1"
"qwen9b";"4";"External Process Submit customer order";"creates";"Concept Order specification";"2"
"qwen9b";"4";"Process Check order validity";"uses";"Concept Order specification";"2"
"qwen9b";"4";"Process Check order validity";"creates";"Concept Rejected order specification";"2"
"qwen9b";"4";"Process Check order validity";"creates";"Concept Verified order specification";"2"
"qwen9b";"4";"Process Handle customer order";"uses";"Concept Verified order specification";"2"
"qwen9b";"4";"Process Handle customer order";"creates";"Concept Order confirmation";"2"
"qwen9b";"4";"Process Handle customer order";"uses";"IS Technical Component Product planning system";"2"
"qwen9b";"4";"Process Handle customer order";"uses";"IS Technical Component Enterprise resource planning system";"2"
"qwen9b";"4";"Process Reject customer order";"uses";"Concept Rejected order specification";"2"
"qwen9b";"4";"Process Prepare product delivery";"uses";"Concept Order confirmation";"2"
"qwen9b";"4";"Process Prepare product delivery";"creates";"Concept Delivery order";"2"
"qwen9b";"4";"Process Check availability";"uses";"IS Technical Component Enterprise resource planning system";"1"
"qwen9b";"4";"Process Check customer status";"uses";"IS Technical Component Enterprise resource planning system";"1"
"qwen9b";"4";"Process Check configuration";"uses";"IS Technical Component Product planning system";"1"
"gemm4_e4b";"4";"Information Set verified order specification";"Output";"Concept Verified order specification";"2"
"gemm4_e4b";"4";"Information Set Order confirmation";"Output";"Concept Order confirmation";"2"
